    [1299.48583984 1969.13220215]
    [1296.88366699 2286.42919922]
    [1128.48034668  970.29626465]
    [1120.30834961 1471.87207031]
    [1120.81762695 1900.88415527]
    [1095.8963623  2193.19824219]
    [1215.37792969  524.05718994]
    [1216.70483398  487.06588745]
    [1246.33898926  460.92211914]
    [1301.00646973  476.50863647]
    [1203.03771973  459.756073  ]
    [1184.10681152  472.69497681]
    [1300.27197266 2023.13574219]
    [1128.09118652 1954.98925781]
    [1221.82763672  960.85955811]
    [1219.74035645  849.10302734]
    [1218.45397949  740.98120117]
    [1217.20800781  636.26275635]
    [1245.56164551  635.25866699]
    [1348.40625    633.6484375]
    [1404.828125    818.16394043]
    [1457.02197266 1006.56085205]
    [1467.71350098 1045.15234375]
    [1489.3572998  1123.27697754]
    [1430.99194336 1085.51989746]
    [1189.44641113  636.13720703]
    [1098.02038574  637.56866455]
    [1015.58880615  795.85516357]
    [932.00823975 670.59228516]
    [913.78356934 643.27886963]
    [875.63867188 586.11071777]
    [918.23529053 624.14935303]
    [1302.02685547  968.0090332 ]
    [1315.05358887 1447.85644531]
    [1331.1328125  1855.76245117]
    [1326.5723877  2124.70678711]
    [1145.59350586  954.06359863]
    [1151.47009277 1408.62719727]
    [1167.20837402 1795.7097168 ]
    [1145.05297852 2042.80322266]
    [1202.48120117  539.47406006]
    [1202.90551758  506.11099243]
    [1230.38574219  483.55682373]
    [1284.6907959   500.70996094]
    [1192.59997559  484.20767212]
    [1181.46032715  501.5947876 ]
    [1337.60827637 1909.04577637]
    [1178.71069336 1848.30664062]
    [1226.55639648  958.79992676]
    [1222.21057129  845.31756592]
    [1219.01391602  736.45587158]
    [1215.9432373   631.88635254]
    [1244.15942383  630.04589844]
    [1348.41821289  625.30627441]
    [1407.86230469  814.69494629]
    [1464.08044434 1006.77600098]
    [1475.58874512 1046.09643555]
    [1498.8782959  1125.66992188]
    [1438.48498535 1087.93383789]
    [1188.30834961  632.5848999 ]
    [1095.95178223  636.78344727]
    [1014.9329834   799.44659424]
    [911.10723877 673.33752441]
    [888.78088379 646.21936035]
    [842.40625    589.89172363]
    [885.99243164 622.9498291 ]
    [1308.03222656  963.80731201]
    [1330.10241699 1453.81726074]
    [1353.99523926 1875.17199707]
    [1354.84008789 2154.86889648]
    [1149.1060791   954.04003906]
    [1162.56958008 1418.24475098]
    [1184.98657227 1817.72302246]
    [1166.63562012 2074.78222656]
    [1202.63366699  533.31005859]
    [1203.5546875   499.96697998]
    [1231.35375977  478.29129028]
    [1285.39562988  497.56936646]
    [1193.56896973  478.86993408]
    [1182.1463623   498.15707397]
    [1361.45690918 1930.65039062]
    [1197.54406738 1872.28027344]
    [1226.07177734  968.77600098]
    [1222.70983887  853.15197754]
